_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/recall@50,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/precision@50,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/ndcg@50,test/map@1,test/map@5,test/map@10,test/map@20,test/map@50,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/mrr@50,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20,test/hit_ratio@50
0,0.71498629,1778815825.3088276,1,0.682129979133606,0.6821128129959106,1.7194743122672662e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.819265424,1778815825.4135349,2,0.6810969710350037,0.6810795068740845,1.749091643432621e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.908526677,1778815825.5027506,3,0.679901659488678,0.6798838973045349,1.77882920979755e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.983283144,1778815825.5775456,4,0.6784979701042175,0.6784798502922058,1.8123468180419877e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.060904305,1778815825.6554627,5,0.6773583889007568,0.6773399114608765,1.8471850125933997e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.1366681650000001,1778815825.730897,6,0.6758178472518921,0.6757990121841431,1.8826412997441366e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.212782888,1778815825.8074617,7,0.6743932962417603,0.6743741035461426,1.9207767763873562e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.288937929,1778815825.883429,8,0.6726745963096619,0.6726549863815308,1.9599021470639855e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.369251689,1778815825.9637196,9,0.6712603569030762,0.6712403297424316,2.001507527893409e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.444610631,1778815826.0390663,10,0.6694766879081726,0.6694561839103699,2.0485796994762495e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.522007129,1778815826.1162574,11,0.6673146486282349,0.6672937273979187,2.0933548512402922e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.5966480760000001,1778815826.190896,12,0.665653645992279,0.6656322479248047,2.1418527467176318e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.6741367889999998,1778815826.268367,13,0.6637325882911682,0.6637106537818909,2.1906169422436506e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.749248089,1778815826.343753,14,0.661659836769104,0.6616374254226685,2.2422951587941498e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.8238429090000001,1778815826.4183683,15,0.659541130065918,0.6595181822776794,2.2973588784225285e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.899685983,1778815826.4940968,16,0.6568889021873474,0.6568653583526611,2.356355071242433e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.977918269,1778815826.572168,17,0.6544371247291565,0.6544129848480225,2.4162567569874227e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.053001401,1778815826.6475096,18,0.6521030068397522,0.6520782113075256,2.478156784491148e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.133406156,1778815826.7277503,19,0.6496739387512207,0.6496485471725464,2.5413242838112637e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.210029387,1778815826.8044913,20,0.6463392972946167,0.6463131904602051,2.612126263557002e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11.37300671,1778815835.9658804,20,,,,0.0033439535181969404,0.009111086837947369,0.020888181403279305,0.03249504417181015,0.0646655485033989,0.009041591547429562,0.006871610414236784,0.006509943399578333,0.005334536079317331,0.0045569590292871,0.009041591547429562,0.00998652447015047,0.013644381426274776,0.01752672716975212,0.026582814753055573,0.0033439535181969404,0.005287020932883024,0.006780142895877361,0.00759471720084548,0.008708181791007519,0.009041591547429562,0.01787221059203148,0.02162877842783928,0.024569306522607803,0.028230419382452965,0.009041591547429562,0.03435804694890976,0.06509945541620255,0.10669077932834625,0.2278480976819992
21,19.205665128,1778815843.7998106,21,0.6434352397918701,0.6434084177017212,2.6811179850483313e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19.287870249,1778815843.8820384,22,0.6408376097679138,0.6408100724220276,2.7533618776942603e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,19.396399779,1778815843.9904428,23,0.6379557251930237,0.6379274129867554,2.8304284569458105e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,19.475930958,1778815844.0701957,24,0.6338196992874146,0.6337906122207642,2.9102793632773682e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,19.560332561,1778815844.1544774,25,0.6307472586631775,0.630717396736145,2.986640356539283e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,19.640047545,1778815844.234126,26,0.6281086206436157,0.6280779242515564,3.069863305427134e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,19.724916416,1778815844.3190422,27,0.6237679123878479,0.6237362623214722,3.1632636819267645e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,19.799101044,1778815844.3932607,28,0.6204059720039368,0.6203734874725342,3.251315501984209e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,19.872447306,1778815844.4670484,29,0.6157616376876831,0.6157281398773193,3.347626989125274e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,19.946929164,1778815844.5413918,30,0.6117672324180603,0.6117328405380249,3.441194712650031e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20.022799415,1778815844.6172774,31,0.6089498996734619,0.6089144945144653,3.538744931574911e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20.099331679,1778815844.6938698,32,0.6033337116241455,0.603297233581543,3.6497276596492156e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20.175908151,1778815844.7704139,33,0.599057137966156,0.5990196466445923,3.7518126191571355e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20.249141973,1778815844.843513,34,0.5943827033042908,0.5943440198898315,3.86938700103201e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20.325625597,1778815844.9203131,35,0.5897595882415771,0.5897198915481567,3.9717047911835834e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20.403143020999998,1778815844.9974825,36,0.5845459699630737,0.5845049619674683,4.10277207265608e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20.480832707,1778815845.0753024,37,0.5802271366119385,0.5801849365234375,4.2171963286818936e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20.559861923,1778815845.1540067,38,0.575099527835846,0.5750560760498047,4.3450112571008503e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20.640121027,1778815845.2343528,39,0.5689016580581665,0.568856954574585,4.469991472433321e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20.716769633,1778815845.3109283,40,0.5636014342308044,0.5635553598403931,4.605005233315751e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,30.742552272,1778815855.3359606,40,,,,0.0035161743871867657,0.008701399900019169,0.02124280296266079,0.03478073328733444,0.07150667905807495,0.009041591547429562,0.005424955859780312,0.0072332704439759254,0.0058770314790308475,0.005207953508943319,0.009041591547429562,0.008530127815902233,0.013731234706938267,0.01828790456056595,0.029030149802565575,0.0035161743871867657,0.004874842241406441,0.0066114142537117004,0.007617414928972721,0.008962858468294144,0.009041591547429562,0.01470765471458435,0.020680127665400505,0.023745596408843994,0.028194600716233253,0.009041591547429562,0.02712477371096611,0.07233273237943649,0.11754068732261658,0.2603978216648102
42,30.823185581,1778815855.417686,41,0.5586418509483337,0.5585944652557373,4.737081326311454e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,30.895891648,1778815855.4905493,42,0.5526581406593323,0.5526094436645508,4.868252290179953e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,30.969714936,1778815855.5645068,43,0.5458385944366455,0.5457884073257446,5.01798240293283e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,31.042332895,1778815855.637098,44,0.5407701730728149,0.5407185554504395,5.164643152966164e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,31.119197592,1778815855.7140512,45,0.5355496406555176,0.5354965925216675,5.306604361976497e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,31.202678943,1778815855.7969887,46,0.5265045762062073,0.5264497995376587,5.4748546972405165e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,31.27735843,1778815855.8720045,47,0.5218855738639832,0.5218292474746704,5.63032845093403e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,31.356340884,1778815855.9508529,48,0.5172224640846252,0.5171645283699036,5.79374645894859e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,31.428881938,1778815856.0235658,49,0.5114799737930298,0.511420488357544,5.946811870671809e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,31.500991504,1778815856.0956616,50,0.5035555958747864,0.5034943222999573,6.125688378233463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,31.59057656,1778815856.18519,51,0.4965049624443054,0.4964420199394226,6.295729690464213e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,31.674759076,1778815856.2693155,52,0.48977839946746826,0.48971372842788696,6.466278136940673e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,31.753458839,1778815856.3479342,53,0.4823846220970154,0.48231804370880127,6.65821207803674e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,31.827543448,1778815856.4221585,54,0.47577789425849915,0.4757094979286194,6.841072899987921e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,31.903082394,1778815856.4975939,55,0.4685594439506531,0.4684891700744629,7.025920058367774e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,31.979878472,1778815856.574378,56,0.4611685276031494,0.46109631657600403,7.222327258205041e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,32.059630066,1778815856.6538632,57,0.45371121168136597,0.45363712310791016,7.409054524032399e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,32.136701096,1778815856.7312424,58,0.447704017162323,0.44762784242630005,7.618941890541464e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,32.214358181,1778815856.8087952,59,0.4433613419532776,0.44328320026397705,7.81538910814561e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,32.296435669,1778815856.8906324,60,0.433587908744812,0.43350768089294434,8.022085239645094e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,42.133350625,1778815866.7262745,60,,,,0.003214788157492876,0.00960998423397541,0.020639367401599884,0.038300562649965286,0.07727528363466263,0.007233273237943649,0.006148282904177904,0.007052438333630562,0.006238694302737713,0.005461117252707481,0.007233273237943649,0.009021289646625519,0.013742631301283836,0.019537463784217834,0.030781002715229988,0.003214788157492876,0.005238108336925507,0.006812462117522955,0.008062837645411491,0.009445730596780777,0.007233273237943649,0.014436407946050167,0.019904419779777527,0.023489680141210556,0.028114529326558113,0.007233273237943649,0.030741410329937935,0.07052440941333771,0.12477395683526993,0.2730560600757599
63,42.221997913,1778815866.8164878,61,0.42596906423568726,0.42588669061660767,8.23860609671101e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,42.29656347,1778815866.8910506,62,0.41868430376052856,0.4185999631881714,8.43476882437244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,42.375466717,1778815866.9699347,63,0.41204050183296204,0.41195395588874817,8.654763223603368e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,42.453089195,1778815867.0478551,64,0.40630629658699036,0.40621742606163025,8.887393050827086e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,42.540403686,1778815867.1350923,65,0.4007706344127655,0.40067988634109497,9.07621142687276e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,42.620832932,1778815867.2151196,66,0.39281514286994934,0.39272207021713257,9.308680455433205e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,42.696878438,1778815867.2913988,67,0.38288918137550354,0.382793664932251,9.551630500936881e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,42.779125315,1778815867.3737411,68,0.37952229380607605,0.3794245719909668,9.771678742254153e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,42.863977751,1778815867.4586313,69,0.37351688742637634,0.3734170198440552,9.985832002712414e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,42.945680619,1778815867.5401309,70,0.3620709180831909,0.3619686961174011,0.00010222688433714211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,43.029969993,1778815867.624328,71,0.35687726736068726,0.35677236318588257,0.00010488952102605253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,43.106327461,1778815867.7008314,72,0.3533738851547241,0.3532668948173523,0.00010699980339268222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,43.190546699,1778815867.784987,73,0.34560540318489075,0.3454957902431488,0.00010960034705931321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,43.268945992,1778815867.8632915,74,0.3413258194923401,0.3412139415740967,0.0001118729924201034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,43.345947252,1778815867.9401562,75,0.33251258730888367,0.33239826560020447,0.00011433512554503977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,43.424376897,1778815868.0186193,76,0.3277303874492645,0.3276134133338928,0.00011697989975800738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,43.501329635,1778815868.0957525,77,0.3208423852920532,0.32072317600250244,0.00011921497207367793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,43.575578283,1778815868.1698034,78,0.31618228554725647,0.3160603940486908,0.00012189457629574463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,43.652038422,1778815868.2464454,79,0.3082711100578308,0.3081468641757965,0.00012425222666934133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,43.736944681,1778815868.3314695,80,0.3013548254966736,0.30122795701026917,0.00012687101843766868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,53.926433288,1778815878.5199192,80,,,,0.005023106001317501,0.011142032220959663,0.020273277536034584,0.03839661180973053,0.0795242041349411,0.010849909856915474,0.006509946659207344,0.007052438333630562,0.006329109892249107,0.005678115412592888,0.010849909856915474,0.010700534097850323,0.014770361594855785,0.020836036652326584,0.03265084698796272,0.005023106001317501,0.006831261329352856,0.008030963130295277,0.009353665634989738,0.010786921717226505,0.010849909856915474,0.01708860881626606,0.021980395540595055,0.025834565982222557,0.03070363588631153,0.010849909856915474,0.03254972770810127,0.07052440941333771,0.1265822798013687,0.283905953168869
84,54.000663575,1778815878.5951872,81,0.29900676012039185,0.29887712001800537,0.0001296310219913721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,54.078549498,1778815878.6728704,82,0.29226499795913696,0.29213306307792664,0.00013192846381571144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,54.161972419,1778815878.75659,83,0.28501638770103455,0.2848818600177765,0.00013451877748593688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,54.241644604,1778815878.8359196,84,0.28041142225265503,0.2802742123603821,0.0001372156257275492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,54.316894999,1778815878.9113414,85,0.2798376679420471,0.2796984314918518,0.00013922453217674047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,54.393308479,1778815878.987793,86,0.27327126264572144,0.2731288969516754,0.00014236377319321036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,54.475019691,1778815879.0695202,87,0.26527848839759827,0.26513394713401794,0.00014454647316597402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,54.550575053,1778815879.1450744,88,0.26078495383262634,0.2606376111507416,0.00014733280113432556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,54.627998508,1778815879.2224362,89,0.2563093602657318,0.25615960359573364,0.00014977017417550087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,54.701602079,1778815879.2960794,90,0.2508956789970398,0.2507428824901581,0.0001528014545328915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
