user_id_original,item_id_original,time
1128,outfit.03bdf90c39e1431685d49ce8309dd242,1633885200
1128,outfit.c46affd5f8ee4749b1f8e7d4ff47f3ff,1633885200
1128,outfit.900dd323358401b1,1645462800
1128,outfit.0630ef7d996d4c489b4e54e85bd09e5a,1636563600
6310,outfit.bd37bc0ed1857fb5,1657126800
6310,outfit.abf8682bf7784e73af89ebfd6d542df0,1654534800
6319,outfit.a520a9aa8147d618,1656954000
568,outfit.3984754756394c3e95ade4b2080508c6,1618246800
568,outfit.fbda7f830faf4caf9b0a085054f22e54,1618246800
568,outfit.9d3b8dd5711d3657,1618246800
568,outfit.127cbdac62d948a1827499f13034becf,1618246800
1232,outfit.2ea36f84cb12427686eed685f97f2a8f,1709139600
6085,outfit.dc7abe1bb20f423a8356cb4d089c56ff,1635872400
6085,outfit.0ff0d877678e4755b088d1c5d09bee11,1630342800
640,outfit.fd816aa2311d45c78fd0ab2d663a177a,1647795600
4638,outfit.cba27389161e42689734a7912d8904a3,1710176400
3577,outfit.8d3343f8c69af77c,1636909200
2148,outfit.9e90f563acb38233,1700499600
67,outfit.499d31bd36254c7191245e1d40745824,1677517200
67,outfit.eb104cb68a534166899c4cce84b0fa55,1682614800
3308,outfit.fb060da6c30143fd9735e8fd364910e0,1663866000
1586,outfit.5ee6b8e1796843248c5ed0284c981f77,1689440400
1586,outfit.a9f2bcb6885fe60a,1689440400
4608,outfit.73ca4657bd9c4ce5b0e697f570323479,1655139600
1819,outfit.19f4932d209d4886bfe838d5677f09ed,1650301200
7411,outfit.84cfd784c9dd4ad6,1700326800
3624,outfit.021142f5924f4280bd3948268d35db64,1693155600
2833,outfit.820179fa25670e17,1627837200
2833,outfit.37391d71588c40bd82003f14276d6f92,1633885200
2833,outfit.e5503fe6f5f243fc90c526bcdb75c942,1638205200
2833,outfit.fc18564205bd40c8bdcd638e83f45ed7,1630342800
2833,outfit.95c292eefaa5453bbb381c3117b7b152,1627837200
2833,outfit.0d0727d0c03f453495eaa85dc17d382d,1627837200
3533,outfit.929220a63bf843f99474bc2644fcb53d,1602522000
4073,outfit.ada6bb8993e7a05e,1662656400
4073,outfit.b619b14568c94d46ac314ae0983703bd,1665248400
6642,outfit.bcc71d0caf95dc33,1625677200
6642,outfit.14a83a236b9a474c8cac31b4288065bf,1625677200
4638,outfit.f367c2f5517542f4ad8df5446c0e0654,1715446800
1735,outfit.897c161625314c1a993188bc0a5ca063,1632762000
5914,outfit.253fb654ace04cbb9280e54d54b62ed8,1599152400
5914,outfit.b33b5cbbea204ab79a1060c3a17546b3,1602176400
5914,outfit.97f20b8380c34615a30aed080071aa96,1602176400
