customer.id;outfit.id;rentalPeriod.start;rentalPeriod.end
1128;outfit.03bdf90c39e1431685d49ce8309dd242;2021-10-11;2021-11-11
1128;outfit.c46affd5f8ee4749b1f8e7d4ff47f3ff;2021-10-11;2021-11-11
1128;outfit.900dd323358401b1;2022-02-22;2022-03-11
1128;outfit.0630ef7d996d4c489b4e54e85bd09e5a;2021-11-11;2021-12-15
6310;outfit.bd37bc0ed1857fb5;2022-07-07;2022-08-06
6310;outfit.abf8682bf7784e73af89ebfd6d542df0;2022-06-07;2022-07-06
6319;outfit.a520a9aa8147d618;2022-07-05;2022-08-04
568;outfit.3984754756394c3e95ade4b2080508c6;2021-04-13;2021-05-14
568;outfit.fbda7f830faf4caf9b0a085054f22e54;2021-04-13;2021-05-14
568;outfit.9d3b8dd5711d3657;2021-04-13;2021-05-14
568;outfit.127cbdac62d948a1827499f13034becf;2021-04-13;2021-05-14
1232;outfit.2ea36f84cb12427686eed685f97f2a8f;2024-02-29;2024-03-28
6085;outfit.dc7abe1bb20f423a8356cb4d089c56ff;2021-11-03;2021-12-03
6085;outfit.0ff0d877678e4755b088d1c5d09bee11;2021-08-31;2021-09-30
640;outfit.fd816aa2311d45c78fd0ab2d663a177a;2022-03-21;2022-04-21
4638;outfit.cba27389161e42689734a7912d8904a3;2024-03-12;2024-04-11
3577;outfit.8d3343f8c69af77c;2021-11-15;2021-12-15
2148;outfit.9e90f563acb38233;2023-11-21;2023-12-20
67;outfit.499d31bd36254c7191245e1d40745824;2023-02-28;2023-03-27
67;outfit.eb104cb68a534166899c4cce84b0fa55;2023-04-28;2023-05-27
3308;outfit.fb060da6c30143fd9735e8fd364910e0;2022-09-23;2022-10-22
1586;outfit.5ee6b8e1796843248c5ed0284c981f77;2023-07-16;2023-08-15
1586;outfit.a9f2bcb6885fe60a;2023-07-16;2023-08-15
4608;outfit.73ca4657bd9c4ce5b0e697f570323479;2022-06-14;2022-07-13
1819;outfit.19f4932d209d4886bfe838d5677f09ed;2022-04-19;2022-05-18
7411;outfit.84cfd784c9dd4ad6;2023-11-19;2023-12-18
3624;outfit.021142f5924f4280bd3948268d35db64;2023-08-28;2023-10-27
2833;outfit.820179fa25670e17;2021-08-02;2021-08-30
2833;outfit.37391d71588c40bd82003f14276d6f92;2021-10-11;2021-11-08
2833;outfit.e5503fe6f5f243fc90c526bcdb75c942;2021-11-30;2021-12-23
2833;outfit.fc18564205bd40c8bdcd638e83f45ed7;2021-08-31;2021-09-27
2833;outfit.95c292eefaa5453bbb381c3117b7b152;2021-08-02;2021-08-30
2833;outfit.0d0727d0c03f453495eaa85dc17d382d;2021-08-02;2021-08-30
3533;outfit.929220a63bf843f99474bc2644fcb53d;2020-10-13;2020-11-13
4073;outfit.ada6bb8993e7a05e;2022-09-09;2022-10-08
4073;outfit.b619b14568c94d46ac314ae0983703bd;2022-10-09;2022-11-08
6642;outfit.bcc71d0caf95dc33;2021-07-08;2021-08-02
6642;outfit.14a83a236b9a474c8cac31b4288065bf;2021-07-08;2021-08-02
4638;outfit.f367c2f5517542f4ad8df5446c0e0654;2024-05-12;2024-06-11
1735;outfit.897c161625314c1a993188bc0a5ca063;2021-09-28;2021-10-28
5914;outfit.253fb654ace04cbb9280e54d54b62ed8;2020-09-04;2020-10-09
5914;outfit.b33b5cbbea204ab79a1060c3a17546b3;2020-10-09;2020-11-06
5914;outfit.97f20b8380c34615a30aed080071aa96;2020-10-09;2020-11-06
5914;outfit.a7b55780d1764599a3ee339fff38d002;2020-10-09;2020-11-06
5760;outfit.e947dbab69e64c5a85f1fe565b5f3a49;2022-03-05;2022-04-04
5490;outfit.7949c76d6d01458dadb4d517d86b6d3f;2023-09-28;2023-10-27
